country_iso2,country_name,year,VAR_06_animal_rights_delta_risk,VAR_07_plant_protein_ratio_risk,VAR_08_public_concern_risk,VAR_09_civic_space_risk,VAR_10_civil_liberties_risk
DE,Germany,2011,-0.0,0.6325,29,0.1518,0.032
DE,Germany,2012,-0.0,0.6361,29,0.1518,0.033
DE,Germany,2013,-0.0,0.6349,29,0.1518,0.036
DE,Germany,2014,-0.0,0.6357,29,0.1518,0.036
DE,Germany,2015,-0.0,0.6368,29,0.1518,0.037
DE,Germany,2016,-0.0,0.6353,29,0.1518,0.036
DE,Germany,2017,-0.0,0.6326,29,0.1518,0.038
DE,Germany,2018,-0.004,0.6401,29,0.1518,0.039
DE,Germany,2019,-0.0,0.6643,29,0.1518,0.038
DE,Germany,2020,-0.0,0.6651,29,0.1518,0.045
DE,Germany,2021,-0.0,0.6625,29,0.1518,0.046
DE,Germany,2022,-0.0,0.6655,29,0.1518,0.049
IN,India,2004,-0.0,0.189,71,0.1903,0.255
IN,India,2005,0.015,0.1893,71,0.2458,0.257
IN,India,2006,-0.0,0.1896,71,0.2458,0.254
IN,India,2007,-0.0,0.1898,71,0.2458,0.254
IN,India,2008,-0.0,0.1901,71,0.2458,0.254
IN,India,2009,-0.0,0.1904,71,0.2458,0.261
IN,India,2010,-0.0,0.1906,71,0.2458,0.262
IN,India,2011,-0.0,0.1902,71,0.2458,0.262
IN,India,2012,-0.0,0.1952,71,0.2455,0.269
IN,India,2013,-0.0,0.1914,71,0.2484,0.251
IN,India,2014,-0.031,0.199,71,0.3159,0.275
IN,India,2015,-0.0,0.2124,71,0.3571,0.327
IN,India,2016,-0.0,0.2137,71,0.3571,0.36
IN,India,2017,-0.0,0.2179,71,0.3666,0.377
IN,India,2018,-0.0,0.233,71,0.3726,0.372
IN,India,2019,-0.004,0.2416,71,0.3611,0.423
IN,India,2020,-0.042,0.2547,71,0.3945,0.451
IN,India,2021,-0.02,0.2626,71,0.3958,0.404
IN,India,2022,-0.006,0.2678,71,0.3958,0.437
IT,Italy,2004,-0.0,0.6128,52,0.1227,0.066
IT,Italy,2005,-0.0,0.6089,52,0.0506,0.064
IT,Italy,2006,-0.0,0.6051,52,0.0506,0.063
IT,Italy,2007,-0.0,0.6013,52,0.0506,0.062
IT,Italy,2008,-0.0,0.5975,52,0.0738,0.068
IT,Italy,2009,-0.0,0.5937,52,0.0505,0.064
IT,Italy,2010,-0.0,0.5898,52,0.0505,0.063
